Código Cuenta;Nombre de la Cuenta;Tipo
1104;Deudores por Ventas (Clientes);Activo
1105;IVA Crédito Fiscal;Activo
2101;Proveedores Nacionales;Pasivo
2104;IVA Débito Fiscal;Pasivo
4101;Ingresos por Ventas;Ganancia
4201-01;Costo de Mercadería;Pérdida
4201-03;Comisiones Bancarias (FLOW S A);Pérdida
4201-04;Asesorías Profesionales (BPO ADVISORS SP);Pérdida
4201-12;Gastos Legales y Trámites (SUBSECRETARIA D);Pérdida
4201-05;Honorarios (MARCELO ANTONIO);Pérdida
4201-99;Gastos Generales Varios (Otros);Pérdida
